https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ENJ,Volume BRL,tradecount
1661385600000,2022-08-25,ENJBRL,2.883,2.986,2.871,2.943,14683.7,43023.3964,106
1661299200000,2022-08-24,ENJBRL,2.91,2.964,2.847,2.883,26452.6,76856.0052,195
1661212800000,2022-08-23,ENJBRL,2.865,2.934,2.784,2.912,29728.0,85733.8582,232
1661126400000,2022-08-22,ENJBRL,2.981,2.981,2.756,2.865,37409.0,106312.8535,255
1661040000000,2022-08-21,ENJBRL,2.921,3.015,2.885,2.989,22632.2,66770.8179,167
1660953600000,2022-08-20,ENJBRL,2.922,3.005,2.831,2.912,48205.3,142269.2224,277
1660867200000,2022-08-19,ENJBRL,3.184,3.184,2.887,2.931,69728.2,207042.4417,436
1660780800000,2022-08-18,ENJBRL,3.347,3.401,3.172,3.23,59305.2,198687.9837,202
1660694400000,2022-08-17,ENJBRL,3.479,3.557,3.306,3.328,32961.0,113859.4093,250
1660608000000,2022-08-16,ENJBRL,3.467,3.534,3.429,3.465,38685.8,134129.8549,150
1660521600000,2022-08-15,ENJBRL,3.557,3.677,3.434,3.467,100848.3,355900.2722,322
1660435200000,2022-08-14,ENJBRL,3.593,3.824,3.48,3.568,102996.3,377892.1018,411
1660348800000,2022-08-13,ENJBRL,3.589,3.648,3.559,3.582,30389.9,109443.501,146
1660262400000,2022-08-12,ENJBRL,3.579,3.596,3.51,3.578,14254.0,50621.0947,145
1660176000000,2022-08-11,ENJBRL,3.581,3.611,3.51,3.578,41528.3,148648.1746,233
1660089600000,2022-08-10,ENJBRL,3.447,3.578,3.373,3.578,42805.2,149499.0676,201
1660003200000,2022-08-09,ENJBRL,3.579,3.634,3.381,3.456,50041.1,174338.1353,277
1659916800000,2022-08-08,ENJBRL,3.541,3.805,3.515,3.595,162351.5,602888.7515,568
1659830400000,2022-08-07,ENJBRL,3.529,3.588,3.45,3.537,19706.4,69411.8001,150
1659744000000,2022-08-06,ENJBRL,3.662,3.662,3.508,3.529,42965.9,154607.1848,195
1659657600000,2022-08-05,ENJBRL,3.598,3.688,3.51,3.674,130383.4,469516.3774,511
1659571200000,2022-08-04,ENJBRL,3.347,3.84,3.338,3.603,596480.4,2155450.3587,1957
1659484800000,2022-08-03,ENJBRL,3.228,3.49,3.158,3.346,157139.6,527592.7988,500
1659398400000,2022-08-02,ENJBRL,3.342,3.396,3.109,3.211,90436.8,291935.6149,395
1659312000000,2022-08-01,ENJBRL,3.202,3.71,3.197,3.353,389280.9,1353119.3801,1320
1659225600000,2022-07-31,ENJBRL,3.272,3.425,3.17,3.202,189501.5,628682.5707,584
1659139200000,2022-07-30,ENJBRL,3.157,3.678,3.126,3.289,237016.5,814848.4824,1021
1659052800000,2022-07-29,ENJBRL,3.192,3.293,3.062,3.147,51952.9,165805.2156,460
1658966400000,2022-07-28,ENJBRL,3.152,3.292,3.028,3.182,61345.1,194429.9667,418
1658880000000,2022-07-27,ENJBRL,2.978,3.142,2.872,3.142,38272.2,114085.9923,298
1658793600000,2022-07-26,ENJBRL,2.857,2.987,2.802,2.987,34451.1,99333.9775,276
1658707200000,2022-07-25,ENJBRL,3.217,3.233,2.856,2.865,39368.0,119447.7705,349
1658620800000,2022-07-24,ENJBRL,3.293,3.333,3.213,3.218,27603.4,90056.4833,190
1658534400000,2022-07-23,ENJBRL,3.276,3.39,3.155,3.283,48050.5,157898.12,325
1658448000000,2022-07-22,ENJBRL,3.383,3.492,3.231,3.266,49797.4,167276.836,374
1658361600000,2022-07-21,ENJBRL,3.268,3.438,3.144,3.383,156453.7,521673.2051,709
1658275200000,2022-07-20,ENJBRL,3.386,3.7,3.206,3.258,186047.6,645003.145,920
1658188800000,2022-07-19,ENJBRL,3.097,3.433,2.987,3.389,111039.7,355120.3262,714
1658102400000,2022-07-18,ENJBRL,2.716,3.118,2.711,3.107,76105.5,227218.216,500
1658016000000,2022-07-17,ENJBRL,2.8,2.836,2.702,2.702,23980.2,66327.4592,187
1657929600000,2022-07-16,ENJBRL,2.733,2.806,2.65,2.791,31377.7,85603.5849,215
1657843200000,2022-07-15,ENJBRL,2.728,2.796,2.697,2.731,52670.2,144379.4401,278
1657756800000,2022-07-14,ENJBRL,2.63,2.751,2.526,2.724,75635.5,199463.2977,263
1657670400000,2022-07-13,ENJBRL,2.534,2.633,2.43,2.621,53619.4,135558.2082,393
1657584000000,2022-07-12,ENJBRL,2.582,2.663,2.526,2.526,56511.9,147213.9135,275
1657497600000,2022-07-11,ENJBRL,2.798,2.803,2.55,2.59,53561.1,143970.2755,328
1657411200000,2022-07-10,ENJBRL,2.942,2.951,2.762,2.789,39446.0,111573.5026,239
1657324800000,2022-07-09,ENJBRL,2.834,2.996,2.834,2.944,42706.5,124476.2857,278
1657238400000,2022-07-08,ENJBRL,2.974,3.021,2.824,2.825,44569.3,128895.9571,316
1657152000000,2022-07-07,ENJBRL,2.92,3.069,2.898,2.983,37339.0,110945.9239,302
1657065600000,2022-07-06,ENJBRL,2.911,2.967,2.811,2.93,51420.5,149201.5426,365
1656979200000,2022-07-05,ENJBRL,2.777,3.043,2.777,2.902,199180.4,582049.4831,833
1656892800000,2022-07-04,ENJBRL,2.546,2.792,2.503,2.769,55150.9,146519.7563,348
1656806400000,2022-07-03,ENJBRL,2.546,2.59,2.468,2.554,39446.3,99717.5031,219
1656720000000,2022-07-02,ENJBRL,2.562,2.61,2.444,2.528,54098.8,136575.6186,323
1656633600000,2022-07-01,ENJBRL,2.677,2.743,2.514,2.554,71224.4,185340.3046,470
1656547200000,2022-06-30,ENJBRL,2.709,2.736,2.428,2.686,95814.3,245229.8538,621
1656460800000,2022-06-29,ENJBRL,2.829,2.861,2.683,2.718,49973.9,137411.5309,385
1656374400000,2022-06-28,ENJBRL,3.04,3.105,2.781,2.781,15781.2,46279.4445,57
1656288000000,2022-06-27,ENJBRL,2.914,3.216,2.914,2.997,145392.6,444364.9109,296
1656201600000,2022-06-26,ENJBRL,3.087,3.153,2.916,2.927,36912.3,113412.5808,126
1656115200000,2022-06-25,ENJBRL,2.856,3.25,2.806,3.069,277824.8,843758.0825,489
1656028800000,2022-06-24,ENJBRL,2.75,2.891,2.7,2.861,13604.9,37999.0299,75
1655942400000,2022-06-23,ENJBRL,2.436,2.811,2.43,2.742,141856.6,381216.2668,275
1655856000000,2022-06-22,ENJBRL,2.381,2.507,2.327,2.425,49047.0,118303.4677,104
1655769600000,2022-06-21,ENJBRL,2.385,2.565,2.339,2.4,9266.9,22687.119,68
1655683200000,2022-06-20,ENJBRL,2.289,2.388,2.204,2.366,19473.7,44395.0134,79
1655596800000,2022-06-19,ENJBRL,2.144,2.332,2.044,2.277,61806.3,131939.3958,138
1655510400000,2022-06-18,ENJBRL,2.296,2.296,1.972,2.141,61532.6,129266.302,167
1655424000000,2022-06-17,ENJBRL,2.201,2.323,2.191,2.273,36824.5,83117.6069,108
1655337600000,2022-06-16,ENJBRL,2.472,2.53,2.151,2.175,3086259.6,7628762.4551,755
1655251200000,2022-06-15,ENJBRL,2.323,2.461,2.1,2.461,108142.1,242650.3904,260
1655164800000,2022-06-14,ENJBRL,2.298,2.596,2.122,2.355,173559.6,417730.1151,372
1655078400000,2022-06-13,ENJBRL,2.468,2.493,2.086,2.292,141428.1,319485.2886,416
1654992000000,2022-06-12,ENJBRL,2.715,2.724,2.457,2.466,155756.3,402674.7528,829
1654905600000,2022-06-11,ENJBRL,2.918,2.99,2.639,2.706,91796.2,254635.5151,526
1654819200000,2022-06-10,ENJBRL,3.07,3.108,2.868,2.912,57083.7,168450.846,415
1654732800000,2022-06-09,ENJBRL,3.041,3.17,2.98,3.063,35646.1,109795.8756,280
1654646400000,2022-06-08,ENJBRL,3.061,3.106,2.991,3.051,41196.2,125653.5281,263
1654560000000,2022-06-07,ENJBRL,3.137,3.153,2.921,3.053,49421.3,150785.2059,459
1654473600000,2022-06-06,ENJBRL,3.027,3.2,3.027,3.147,44001.3,137440.2466,291
1654387200000,2022-06-05,ENJBRL,2.999,3.08,2.929,3.037,26293.9,79489.736,183
1654300800000,2022-06-04,ENJBRL,2.945,3.003,2.864,2.986,53280.7,157849.2774,263
1654214400000,2022-06-03,ENJBRL,3.12,3.129,2.891,2.931,47961.5,142921.7431,328
1654128000000,2022-06-02,ENJBRL,3.089,3.143,3.011,3.12,53422.4,164053.4947,405
1654041600000,2022-06-01,ENJBRL,3.337,3.374,3.029,3.079,64016.0,204651.995,574
1653955200000,2022-05-31,ENJBRL,3.217,3.422,3.186,3.327,105155.5,348330.8583,768
1653868800000,2022-05-30,ENJBRL,2.899,3.242,2.891,3.213,36775.6,113968.0046,283
1653782400000,2022-05-29,ENJBRL,2.864,2.922,2.783,2.914,5448.1,15508.0289,68
1653696000000,2022-05-28,ENJBRL,2.848,2.894,2.763,2.872,4264.8,12201.5009,66
1653609600000,2022-05-27,ENJBRL,3.0,3.049,2.767,2.841,14767.8,43323.1943,105
1653523200000,2022-05-26,ENJBRL,3.342,3.434,2.91,3.036,19684.5,61687.1932,117
1653436800000,2022-05-25,ENJBRL,3.294,3.361,3.193,3.307,15022.5,49480.9713,113
1653350400000,2022-05-24,ENJBRL,3.276,3.37,3.1,3.341,6391.5,20853.2957,101
1653264000000,2022-05-23,ENJBRL,3.557,3.655,3.241,3.29,30120.4,105452.5149,158
1653177600000,2022-05-22,ENJBRL,3.382,3.585,3.364,3.53,8471.1,29886.9154,110
1653091200000,2022-05-21,ENJBRL,3.258,3.42,3.232,3.39,6632.4,22222.5672,72
1653004800000,2022-05-20,ENJBRL,3.45,3.516,3.173,3.28,12091.5,41112.4356,76
1652918400000,2022-05-19,ENJBRL,3.268,3.485,3.131,3.456,13703.8,46029.1039,103
1652832000000,2022-05-18,ENJBRL,3.702,3.702,3.25,3.25,11991.3,41508.48,124
1652745600000,2022-05-17,ENJBRL,3.67,3.786,3.491,3.673,9507.3,34489.8938,114
1652659200000,2022-05-16,ENJBRL,3.934,3.934,3.5,3.556,29997.4,110717.1159,265
1652572800000,2022-05-15,ENJBRL,3.813,3.946,3.591,3.946,21196.8,79905.1662,164
1652486400000,2022-05-14,ENJBRL,3.539,3.959,3.308,3.833,79930.8,293410.455,373
1652400000000,2022-05-13,ENJBRL,3.028,3.951,2.979,3.422,95296.4,344127.2129,506
1652313600000,2022-05-12,ENJBRL,3.234,3.466,2.449,2.999,145844.4,431582.9118,728
1652227200000,2022-05-11,ENJBRL,4.208,4.408,2.944,3.233,354748.3,1322699.7514,2490
1652140800000,2022-05-10,ENJBRL,4.001,4.668,3.841,4.221,233224.2,1004684.4447,2035
1652054400000,2022-05-09,ENJBRL,4.925,5.016,3.96,3.989,155549.45,676886.1056,1437
1651968000000,2022-05-08,ENJBRL,5.112,5.128,4.826,4.91,52231.9,259486.6085,512
1651881600000,2022-05-07,ENJBRL,5.349,5.375,4.97,5.096,32226.5,168955.6208,363
1651795200000,2022-05-06,ENJBRL,5.42,5.461,5.149,5.371,47820.7,253979.7722,591
1651708800000,2022-05-05,ENJBRL,5.849,5.921,5.243,5.403,58309.5,320894.7358,647
1651622400000,2022-05-04,ENJBRL,5.332,5.872,5.3,5.839,45467.5,254559.9874,506
1651536000000,2022-05-03,ENJBRL,5.422,5.703,5.222,5.316,32957.6,180241.76,422
1651449600000,2022-05-02,ENJBRL,5.498,5.589,5.168,5.44,78027.1,419378.6716,605
1651363200000,2022-05-01,ENJBRL,5.367,5.648,5.144,5.487,79620.4,431701.779,595
1651276800000,2022-04-30,ENJBRL,6.043,6.119,5.049,5.331,58382.9,321130.1014,488
1651190400000,2022-04-29,ENJBRL,6.455,6.472,5.866,6.043,35538.0,216621.6236,462
1651104000000,2022-04-28,ENJBRL,6.495,6.576,6.34,6.435,28017.1,181049.1555,316
1651017600000,2022-04-27,ENJBRL,6.397,6.635,6.337,6.512,20291.7,131940.4068,285
1650931200000,2022-04-26,ENJBRL,6.755,6.932,6.337,6.403,35560.7,235177.7072,500
1650844800000,2022-04-25,ENJBRL,6.703,6.762,6.203,6.742,50317.0,325020.1842,522
1650758400000,2022-04-24,ENJBRL,6.793,6.854,6.6,6.724,35581.3,240041.3045,283
1650672000000,2022-04-23,ENJBRL,6.978,6.983,6.712,6.791,55608.0,382439.2071,448
1650585600000,2022-04-22,ENJBRL,6.684,6.988,6.684,6.957,25888.2,177760.3128,340
1650499200000,2022-04-21,ENJBRL,7.07,7.246,6.585,6.705,29469.8,206485.2366,368
1650412800000,2022-04-20,ENJBRL,7.106,7.421,6.867,7.07,728025.3,5258181.232,1022
1650326400000,2022-04-19,ENJBRL,6.796,7.168,6.69,7.113,19619.3,136976.7059,373
1650240000000,2022-04-18,ENJBRL,6.736,6.841,6.412,6.796,34985.4,231426.3475,516
1650153600000,2022-04-17,ENJBRL,7.122,7.202,6.717,6.757,16880.9,118150.7667,192
1650067200000,2022-04-16,ENJBRL,7.233,7.277,6.991,7.14,9372.6,66719.6438,134
1649980800000,2022-04-15,ENJBRL,7.242,7.274,7.035,7.233,18763.9,134549.1365,236
1649894400000,2022-04-14,ENJBRL,7.509,7.611,7.058,7.219,20211.1,148459.7046,279
1649808000000,2022-04-13,ENJBRL,7.323,7.6,7.18,7.5,19293.2,142797.3317,320
1649721600000,2022-04-12,ENJBRL,7.131,7.604,7.046,7.343,40721.5,299119.3966,628
1649635200000,2022-04-11,ENJBRL,7.925,7.925,6.95,7.109,51991.3,381843.5112,887
1649548800000,2022-04-10,ENJBRL,8.534,8.586,7.859,7.901,23910.5,197909.9902,366
1649462400000,2022-04-09,ENJBRL,7.842,8.664,7.842,8.56,64241.5,539106.6381,614
1649376000000,2022-04-08,ENJBRL,8.023,8.5,7.76,7.817,56772.4,463554.6394,377
1649289600000,2022-04-07,ENJBRL,7.28,8.29,7.04,8.0,80206.7,638315.8597,466
1649203200000,2022-04-06,ENJBRL,7.935,7.935,7.218,7.252,45621.9,345074.5549,339
1649116800000,2022-04-05,ENJBRL,8.256,8.4,7.932,7.932,17634.9,145006.7106,222
1649030400000,2022-04-04,ENJBRL,8.816,8.816,7.886,8.239,258671.4,2200289.736,850
1648944000000,2022-04-03,ENJBRL,8.741,8.978,8.462,8.816,29193.6,255393.5455,364
1648857600000,2022-04-02,ENJBRL,8.753,9.063,8.559,8.741,30399.5,268001.5297,523
1648771200000,2022-04-01,ENJBRL,8.605,8.98,8.314,8.766,39497.3,344051.2502,577
1648684800000,2022-03-31,ENJBRL,8.616,9.484,8.323,8.597,91116.2,810473.662,1013
1648598400000,2022-03-30,ENJBRL,8.373,8.8,7.995,8.642,29837.0,251976.3833,533
1648512000000,2022-03-29,ENJBRL,8.21,8.716,8.16,8.38,40484.7,343070.893,501
1648425600000,2022-03-28,ENJBRL,8.528,8.863,8.078,8.173,43159.5,372664.6504,726
1648339200000,2022-03-27,ENJBRL,7.907,8.567,7.883,8.527,49501.8,407680.242,671
1648252800000,2022-03-26,ENJBRL,7.724,7.936,7.6,7.916,17437.8,136050.5047,220
1648166400000,2022-03-25,ENJBRL,8.141,8.141,7.556,7.732,28199.9,223370.6863,470
1648080000000,2022-03-24,ENJBRL,7.445,8.241,7.445,8.15,89751.7,714501.5026,988
1647993600000,2022-03-23,ENJBRL,7.219,7.647,7.116,7.449,35211.0,260996.1816,427
1647907200000,2022-03-22,ENJBRL,7.119,7.6,7.064,7.219,6409168.6,47218340.3135,1716
1647820800000,2022-03-21,ENJBRL,7.298,7.456,7.095,7.159,4495159.5,32371900.2986,1739
1647734400000,2022-03-20,ENJBRL,7.608,7.651,7.153,7.282,24151.6,178937.8113,287
1647648000000,2022-03-19,ENJBRL,7.311,7.83,7.266,7.628,31462.0,237527.7655,438
1647561600000,2022-03-18,ENJBRL,7.095,7.35,6.917,7.311,28504.0,202563.9142,359
1647475200000,2022-03-17,ENJBRL,7.247,7.31,7.053,7.107,33527.3,241467.0838,444
1647388800000,2022-03-16,ENJBRL,6.796,7.251,6.675,7.246,45106.8,313565.8163,633
1647302400000,2022-03-15,ENJBRL,6.807,6.912,6.56,6.804,30839.3,208219.8994,339
1647216000000,2022-03-14,ENJBRL,6.609,6.834,6.549,6.803,170455.7,1127999.6509,471
1647129600000,2022-03-13,ENJBRL,6.696,7.048,6.549,6.621,27593.6,189109.7886,411
1647043200000,2022-03-12,ENJBRL,6.642,6.9,6.642,6.698,472015.7,3204036.0309,539
1646956800000,2022-03-11,ENJBRL,6.71,6.832,6.502,6.651,33424.1,222810.9269,449
1646870400000,2022-03-10,ENJBRL,7.033,7.062,6.575,6.719,27853.0,187762.6492,534
1646784000000,2022-03-09,ENJBRL,6.858,7.26,6.82,7.046,32150.6,226979.7111,521
1646697600000,2022-03-08,ENJBRL,6.743,6.984,6.665,6.837,24248.7,165781.9681,517
1646611200000,2022-03-07,ENJBRL,6.89,7.1,6.555,6.741,40212.2,273694.2126,568
1646524800000,2022-03-06,ENJBRL,7.274,7.53,6.833,6.89,24640.3,176069.0929,441
1646438400000,2022-03-05,ENJBRL,6.916,7.351,6.769,7.274,20331.2,143607.4894,402
1646352000000,2022-03-04,ENJBRL,7.478,7.501,6.849,6.937,44416.8,319526.9855,688
1646265600000,2022-03-03,ENJBRL,7.951,8.023,7.37,7.513,30317.3,232097.8889,574
1646179200000,2022-03-02,ENJBRL,8.223,8.291,7.827,7.927,42350.2,340229.8152,734
1646092800000,2022-03-01,ENJBRL,8.063,8.468,7.79,8.253,41957.8,340519.4421,814
