https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume MATIC,Volume BRL,tradecount
1649203200000,2022-04-06,MATICBRL,7.46,7.487,6.914,6.929,134097.1,960140.1291,1539
1649116800000,2022-04-05,MATICBRL,7.648,7.77,7.437,7.476,96924.7,737163.9398,1485
1649030400000,2022-04-04,MATICBRL,7.927,7.941,7.488,7.638,73428.9,565768.3153,1036
1648944000000,2022-04-03,MATICBRL,7.774,8.046,7.681,7.927,62797.9,494358.6972,792
1648857600000,2022-04-02,MATICBRL,7.978,8.122,7.75,7.766,60415.6,482645.7954,815
1648771200000,2022-04-01,MATICBRL,7.735,8.048,7.45,7.989,103219.8,812767.4142,1104
1648684800000,2022-03-31,MATICBRL,8.095,8.39,7.7,7.735,133713.9,1068835.5362,1302
1648598400000,2022-03-30,MATICBRL,8.024,8.295,7.824,8.097,129439.3,1051462.6496,1026
1648512000000,2022-03-29,MATICBRL,7.949,8.307,7.85,8.038,83061.9,672069.4804,1007
1648425600000,2022-03-28,MATICBRL,8.071,8.388,7.916,7.955,123060.9,1010471.1542,1149
1648339200000,2022-03-27,MATICBRL,7.721,8.075,7.677,8.061,52578.6,413401.4342,632
1648252800000,2022-03-26,MATICBRL,7.557,7.725,7.509,7.725,45801.8,348984.2417,519
1648166400000,2022-03-25,MATICBRL,7.911,8.027,7.525,7.564,117612.5,919576.9059,1083
1648080000000,2022-03-24,MATICBRL,7.571,7.912,7.499,7.879,93080.7,721167.7465,987
1647993600000,2022-03-23,MATICBRL,7.453,7.598,7.385,7.572,71687.8,537040.5342,723
1647907200000,2022-03-22,MATICBRL,7.288,7.581,7.253,7.453,107983.6,804554.7739,945
1647820800000,2022-03-21,MATICBRL,7.395,7.54,7.22,7.298,210684.1,1540413.6427,852
1647734400000,2022-03-20,MATICBRL,7.724,7.756,7.366,7.399,47985.3,363183.3277,566
1647648000000,2022-03-19,MATICBRL,7.551,7.773,7.551,7.712,129285.3,991967.7536,841
1647561600000,2022-03-18,MATICBRL,7.307,7.594,7.18,7.566,55543.4,412668.291,736
1647475200000,2022-03-17,MATICBRL,7.473,7.667,7.306,7.311,59376.3,441351.1214,914
1647388800000,2022-03-16,MATICBRL,7.097,7.482,6.95,7.468,88547.2,639479.3179,1177
1647302400000,2022-03-15,MATICBRL,7.061,7.259,6.833,7.091,82844.1,584826.0102,1000
1647216000000,2022-03-14,MATICBRL,6.94,7.077,6.833,7.04,47277.4,327670.8173,547
1647129600000,2022-03-13,MATICBRL,7.11,7.235,6.908,6.969,25352.0,180467.0848,402
1647043200000,2022-03-12,MATICBRL,7.138,7.293,7.1,7.1,49480.5,356320.9697,462
1646956800000,2022-03-11,MATICBRL,7.257,7.418,7.11,7.152,171639.6,1238512.2234,631
1646870400000,2022-03-10,MATICBRL,7.594,7.608,7.128,7.262,130847.6,955442.2111,912
1646784000000,2022-03-09,MATICBRL,7.4,7.836,7.374,7.58,154039.5,1170905.5776,1153
1646697600000,2022-03-08,MATICBRL,7.255,7.545,7.229,7.373,142646.8,1053513.0966,1025
1646611200000,2022-03-07,MATICBRL,7.348,7.604,7.03,7.255,129786.7,953823.9657,1173
1646524800000,2022-03-06,MATICBRL,7.718,7.769,7.334,7.334,81066.2,604211.6175,718
1646438400000,2022-03-05,MATICBRL,7.536,7.761,7.402,7.701,85622.6,650915.9537,848
1646352000000,2022-03-04,MATICBRL,8.021,8.038,7.414,7.516,137820.3,1065882.6706,1355
1646265600000,2022-03-03,MATICBRL,8.396,8.46,7.86,8.025,52270.8,423394.489,1088
1646179200000,2022-03-02,MATICBRL,8.35,8.736,8.14,8.373,105326.1,889733.7393,1366
1646092800000,2022-03-01,MATICBRL,8.321,8.575,8.031,8.356,129922.7,1078948.111,1262
1646006400000,2022-02-28,MATICBRL,7.556,8.346,7.425,8.321,95145.3,759768.2016,1104
1645920000000,2022-02-27,MATICBRL,7.887,8.031,7.42,7.553,61656.7,475932.2772,820
1645833600000,2022-02-26,MATICBRL,8.062,8.267,7.813,7.883,86915.6,694525.4057,986
1645747200000,2022-02-25,MATICBRL,7.425,8.186,7.241,8.063,158318.2,1227934.9391,1358
1645660800000,2022-02-24,MATICBRL,7.241,7.73,6.28,7.426,358944.1,2461354.8828,2774
1645574400000,2022-02-23,MATICBRL,7.476,8.068,7.241,7.241,97614.7,753148.658,1410
1645488000000,2022-02-22,MATICBRL,7.281,7.524,6.965,7.476,97716.2,711953.6175,1308
1645401600000,2022-02-21,MATICBRL,7.831,8.396,7.221,7.232,191790.6,1506117.2129,1594
1645315200000,2022-02-20,MATICBRL,8.483,8.495,7.754,7.849,86774.2,690920.3037,1006
1645228800000,2022-02-19,MATICBRL,8.251,8.5,8.085,8.457,70528.8,588147.0213,966
1645142400000,2022-02-18,MATICBRL,8.649,8.93,8.208,8.251,93131.4,790088.7206,1213
1645056000000,2022-02-17,MATICBRL,9.47,9.613,8.596,8.665,122063.4,1103694.1043,1296
1644969600000,2022-02-16,MATICBRL,9.708,9.715,9.087,9.474,122839.1,1149939.5827,1253
1644883200000,2022-02-15,MATICBRL,8.692,9.727,8.682,9.662,172143.2,1599360.9348,1476
1644796800000,2022-02-14,MATICBRL,8.796,8.853,8.367,8.69,78583.9,676418.7271,1144
1644710400000,2022-02-13,MATICBRL,9.025,9.13,8.719,8.796,66818.6,600062.0682,861
1644624000000,2022-02-12,MATICBRL,9.059,9.338,8.708,8.998,117613.7,1061458.7594,1107
1644537600000,2022-02-11,MATICBRL,9.994,9.999,8.89,9.091,155278.3,1483163.1304,1784
1644451200000,2022-02-10,MATICBRL,10.735,10.735,9.89,9.988,186718.5,1934263.6352,1799
1644364800000,2022-02-09,MATICBRL,10.315,10.861,10.036,10.756,189744.8,1996264.3187,1757
1644278400000,2022-02-08,MATICBRL,10.729,10.858,9.862,10.315,273295.6,2801500.5244,2329
1644192000000,2022-02-07,MATICBRL,9.34,11.043,9.124,10.719,544692.7,5653891.1168,2869
1644105600000,2022-02-06,MATICBRL,9.207,9.427,8.967,9.316,94026.6,865277.3034,1265
1644019200000,2022-02-05,MATICBRL,9.072,9.415,9.0,9.219,105865.9,975911.3816,1396
1643932800000,2022-02-04,MATICBRL,8.253,9.074,8.188,9.072,134228.4,1163462.5357,1574
1643846400000,2022-02-03,MATICBRL,8.173,8.314,7.872,8.314,96233.9,778392.4383,1289
1643760000000,2022-02-02,MATICBRL,8.738,8.825,8.072,8.181,154456.3,1311934.1267,1445
1643673600000,2022-02-01,MATICBRL,8.76,8.946,8.596,8.741,164021.5,1441368.1683,1415
1643587200000,2022-01-31,MATICBRL,8.711,8.839,8.3,8.78,178959.4,1543778.0646,1415
1643500800000,2022-01-30,MATICBRL,9.22,9.281,8.58,8.711,124990.2,1112206.1186,3523
1643414400000,2022-01-29,MATICBRL,9.072,9.431,8.99,9.215,161179.0,1489011.1384,4690
1643328000000,2022-01-28,MATICBRL,8.666,9.224,8.528,9.074,131996.3,1179974.5223,4076
1643241600000,2022-01-27,MATICBRL,8.715,9.035,8.241,8.666,112680.3,977664.6169,1693
1643155200000,2022-01-26,MATICBRL,8.585,9.904,8.386,8.734,306156.6,2815342.9002,2789
1643068800000,2022-01-25,MATICBRL,8.367,8.865,7.84,8.585,169983.7,1419939.9501,2073
1642982400000,2022-01-24,MATICBRL,8.917,8.917,7.235,8.35,266742.7,2090762.198,2829
1642896000000,2022-01-23,MATICBRL,8.475,9.222,8.347,8.922,116185.3,1024703.9239,1739
1642809600000,2022-01-22,MATICBRL,9.343,9.683,7.748,8.486,379787.3,3241260.1053,3622
1642723200000,2022-01-21,MATICBRL,10.777,11.104,9.1,9.391,218444.0,2177239.0278,3139
1642636800000,2022-01-20,MATICBRL,11.181,11.948,10.701,10.735,109682.0,1258736.3305,1846
1642550400000,2022-01-19,MATICBRL,11.902,11.999,11.17,11.181,128138.5,1481649.4384,1832
1642464000000,2022-01-18,MATICBRL,12.371,12.499,11.575,11.895,115787.3,1386050.2834,1810
1642377600000,2022-01-17,MATICBRL,13.067,13.686,12.056,12.372,184517.4,2383972.558,2266
1642291200000,2022-01-16,MATICBRL,13.12,13.257,12.755,13.035,47809.9,621566.7741,1138
1642204800000,2022-01-15,MATICBRL,13.04,13.397,12.836,13.12,60148.9,793055.8372,1323
1642118400000,2022-01-14,MATICBRL,12.636,13.107,12.2,13.017,88828.1,1128348.291,1571
1642032000000,2022-01-13,MATICBRL,13.371,13.598,12.523,12.636,162969.8,2150211.2395,1928
1641945600000,2022-01-12,MATICBRL,13.305,13.718,12.935,13.369,134110.5,1782266.2449,2061
1641859200000,2022-01-11,MATICBRL,11.836,13.371,11.69,13.294,188241.3,2394221.3865,2443
1641772800000,2022-01-10,MATICBRL,12.035,12.229,10.993,11.846,146467.6,1693621.1418,1941
1641686400000,2022-01-09,MATICBRL,11.331,12.346,11.205,12.047,78914.4,932813.8615,1318
1641600000000,2022-01-08,MATICBRL,11.7,12.197,10.852,11.349,83139.1,954774.2264,1806
1641513600000,2022-01-07,MATICBRL,12.926,13.0,11.607,11.689,130913.4,1589339.8224,2913
1641427200000,2022-01-06,MATICBRL,12.57,13.1,11.95,12.926,154779.3,1940542.6649,3440
1641340800000,2022-01-05,MATICBRL,13.543,13.975,11.771,12.604,171136.3,2238182.2968,4334
1641254400000,2022-01-04,MATICBRL,13.849,14.219,13.455,13.501,154227.5,2142514.0635,5262
1641168000000,2022-01-03,MATICBRL,14.4,14.4,13.464,13.849,127798.0,1780829.581,4485
1641081600000,2022-01-02,MATICBRL,14.52,14.549,14.108,14.4,65029.8,930246.0311,1451
1640995200000,2022-01-01,MATICBRL,14.261,14.662,14.122,14.52,52673.9,758832.5778,927
1640908800000,2021-12-31,MATICBRL,14.406,15.047,13.797,14.259,159817.6,2307452.7422,1908
1640822400000,2021-12-30,MATICBRL,14.231,14.757,13.9,14.406,193255.5,2768219.1351,1899
1640736000000,2021-12-29,MATICBRL,14.2,14.922,13.722,14.234,263375.3,3805048.6058,2261
1640649600000,2021-12-28,MATICBRL,15.495,15.52,13.919,14.145,234088.9,3441546.7783,2780
1640563200000,2021-12-27,MATICBRL,16.46,16.7,15.444,15.495,166640.6,2679877.4264,2532
1640476800000,2021-12-26,MATICBRL,15.069,16.5,14.975,16.465,277436.53,4410839.6987,3072
1640390400000,2021-12-25,MATICBRL,14.1,15.35,13.897,15.096,138888.9,2045054.3313,1640
1640304000000,2021-12-24,MATICBRL,15.277,15.285,13.857,14.097,188045.4,2763627.3663,3268
1640217600000,2021-12-23,MATICBRL,14.256,15.534,14.069,15.276,402179.8,6008431.5762,3513
1640131200000,2021-12-22,MATICBRL,13.616,15.23,13.616,14.263,307775.18,4479115.355,3976
1640044800000,2021-12-21,MATICBRL,12.228,13.799,12.092,13.612,211713.1,2795447.3064,2679
1639958400000,2021-12-20,MATICBRL,12.725,12.858,11.727,12.211,151755.5,1855011.7195,2006
1639872000000,2021-12-19,MATICBRL,12.723,13.085,12.341,12.72,151042.1,1920718.7234,1691
1639785600000,2021-12-18,MATICBRL,12.132,12.87,11.741,12.754,119785.4,1489575.1137,1711
1639699200000,2021-12-17,MATICBRL,11.888,12.337,11.159,12.132,163328.1,1933261.806,2001
1639612800000,2021-12-16,MATICBRL,12.19,12.631,11.853,11.856,258008.2,3174985.1557,2568
1639526400000,2021-12-15,MATICBRL,11.107,12.753,10.515,12.171,555041.6,6486220.9656,4179
1639440000000,2021-12-14,MATICBRL,10.415,11.128,9.95,11.085,237385.0,2503289.7474,2683
1639353600000,2021-12-13,MATICBRL,11.81,11.839,10.027,10.415,203957.6,2165806.7834,2939
1639267200000,2021-12-12,MATICBRL,12.107,12.107,11.5,11.825,140543.3,1662688.6282,1341
1639180800000,2021-12-11,MATICBRL,11.88,12.255,11.388,12.115,251114.6,2980600.6193,1756
1639094400000,2021-12-10,MATICBRL,11.836,12.897,11.561,11.89,541161.0,6637107.1144,3728
1639008000000,2021-12-09,MATICBRL,13.572,13.655,11.66,11.803,515563.1,6448724.66,4764
