https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ADA,Volume BRL,tradecount
1687824000000,2023-06-27,ADABRL,1.34,1.399,1.337,1.385,266134.6,363210.18,819
1687737600000,2023-06-26,ADABRL,1.406,1.407,1.33,1.344,226776.3,310057.7021,797
1687651200000,2023-06-25,ADABRL,1.391,1.46,1.386,1.408,215908.4,306764.1806,633
1687564800000,2023-06-24,ADABRL,1.423,1.432,1.372,1.386,185340.6,259992.6339,658
1687478400000,2023-06-23,ADABRL,1.385,1.453,1.38,1.424,413067.1,586416.541,1141
1687392000000,2023-06-22,ADABRL,1.368,1.455,1.366,1.386,608140.3,856544.791,1456
1687305600000,2023-06-21,ADABRL,1.301,1.379,1.292,1.367,611013.6,825620.8866,1551
1687219200000,2023-06-20,ADABRL,1.265,1.301,1.218,1.301,419378.7,529170.6479,1000
1687132800000,2023-06-19,ADABRL,1.269,1.275,1.235,1.266,213669.6,268431.141,740
1687046400000,2023-06-18,ADABRL,1.3,1.309,1.262,1.269,134730.1,173551.3561,542
1686960000000,2023-06-17,ADABRL,1.276,1.324,1.267,1.298,170479.2,220982.2609,624
1686873600000,2023-06-16,ADABRL,1.266,1.298,1.235,1.279,206432.3,261540.919,825
1686787200000,2023-06-15,ADABRL,1.279,1.291,1.217,1.269,374609.1,471445.8907,1244
1686700800000,2023-06-14,ADABRL,1.346,1.355,1.241,1.28,453759.0,593177.4019,1233
1686614400000,2023-06-13,ADABRL,1.341,1.41,1.312,1.347,549779.2,746389.6333,1395
1686528000000,2023-06-12,ADABRL,1.347,1.416,1.31,1.344,450608.2,615782.7157,1394
1686441600000,2023-06-11,ADABRL,1.36,1.385,1.28,1.348,538552.0,716872.3448,1635
1686355200000,2023-06-10,ADABRL,1.453,1.453,1.025,1.36,3148659.9,3927105.8395,6491
1686268800000,2023-06-09,ADABRL,1.603,1.605,1.432,1.456,730304.1,1100757.7942,2233
1686182400000,2023-06-08,ADABRL,1.598,1.643,1.591,1.604,304031.7,491436.6654,1090
1686096000000,2023-06-07,ADABRL,1.74,1.74,1.57,1.6,1081121.2,1752519.6508,2064
1686009600000,2023-06-06,ADABRL,1.75,1.768,1.678,1.745,482015.1,838132.8199,1493
1685923200000,2023-06-05,ADABRL,1.894,1.9,1.722,1.753,383791.2,685693.0611,1822
1685836800000,2023-06-04,ADABRL,1.883,1.915,1.876,1.892,100000.1,190487.3395,541
1685750400000,2023-06-03,ADABRL,1.887,1.891,1.867,1.883,126331.4,237097.8495,481
1685664000000,2023-06-02,ADABRL,1.838,1.906,1.83,1.888,243105.3,456231.2505,956
1685577600000,2023-06-01,ADABRL,1.903,1.91,1.831,1.84,253942.0,470268.8952,1037
1685491200000,2023-05-31,ADABRL,1.917,1.927,1.889,1.903,150558.7,287216.7068,808
1685404800000,2023-05-30,ADABRL,1.913,1.936,1.892,1.916,243164.2,466131.575,878
1685318400000,2023-05-29,ADABRL,1.923,1.94,1.892,1.912,228112.4,435879.9926,923
1685232000000,2023-05-28,ADABRL,1.846,1.932,1.844,1.923,313735.9,593096.0306,1144
1685145600000,2023-05-27,ADABRL,1.818,1.85,1.814,1.846,139199.6,254973.5552,564
1685059200000,2023-05-26,ADABRL,1.806,1.839,1.783,1.822,267233.3,484489.2952,853
1684972800000,2023-05-25,ADABRL,1.817,1.824,1.777,1.803,280315.8,503550.7704,838
1684886400000,2023-05-24,ADABRL,1.85,1.853,1.796,1.817,282247.9,512786.7719,1060
1684800000000,2023-05-23,ADABRL,1.841,1.873,1.83,1.85,239743.8,443861.3755,701
1684713600000,2023-05-22,ADABRL,1.81,1.876,1.791,1.839,345486.9,637520.4223,880
1684627200000,2023-05-21,ADABRL,1.834,1.834,1.795,1.809,151698.0,275305.0965,591
1684540800000,2023-05-20,ADABRL,1.846,1.846,1.826,1.833,125128.5,229401.9122,535
1684454400000,2023-05-19,ADABRL,1.858,1.865,1.831,1.846,168128.2,311101.9273,652
1684368000000,2023-05-18,ADABRL,1.864,1.891,1.83,1.857,164819.2,307649.0522,846
1684281600000,2023-05-17,ADABRL,1.834,1.891,1.815,1.862,261909.0,484835.8028,1446
1684195200000,2023-05-16,ADABRL,1.81,1.834,1.788,1.832,154610.5,280163.1242,750
1684108800000,2023-05-15,ADABRL,1.847,1.871,1.81,1.81,176482.6,324111.7464,795
1684022400000,2023-05-14,ADABRL,1.809,1.852,1.8,1.845,195393.7,355768.2049,487
1683936000000,2023-05-13,ADABRL,1.845,1.845,1.805,1.808,124245.0,225951.3062,573
1683849600000,2023-05-12,ADABRL,1.791,1.845,1.756,1.845,301977.2,543713.6961,1012
1683763200000,2023-05-11,ADABRL,1.836,1.839,1.745,1.791,283392.0,505872.6884,1104
