https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume XRP,Volume BRL,tradecount
1644883200000,2022-02-15,XRPBRL,4.212,4.452,4.19,4.412,388547.0,1685272.084,1591
1644796800000,2022-02-14,XRPBRL,4.281,4.299,4.101,4.207,323231.0,1357738.288,1622
1644710400000,2022-02-13,XRPBRL,4.355,4.487,4.204,4.281,349623.0,1521725.926,1436
1644624000000,2022-02-12,XRPBRL,4.015,4.513,3.957,4.35,915266.0,3910091.868,2546
1644537600000,2022-02-11,XRPBRL,4.359,4.39,3.978,4.019,850489.0,3587403.092,2620
1644451200000,2022-02-10,XRPBRL,4.582,4.726,4.335,4.357,983091.0,4462396.362,2933
1644364800000,2022-02-09,XRPBRL,4.65,4.819,4.482,4.582,1736415.0,8092777.598,5370
1644278400000,2022-02-08,XRPBRL,4.415,4.849,4.271,4.634,2855960.0,13011400.725,9651
1644192000000,2022-02-07,XRPBRL,3.666,4.457,3.603,4.416,1564905.0,6438079.866,5889
1644105600000,2022-02-06,XRPBRL,3.582,3.687,3.54,3.662,183080.0,660742.006,1295
1644019200000,2022-02-05,XRPBRL,3.513,3.682,3.484,3.58,413487.0,1487866.066,2148
1643932800000,2022-02-04,XRPBRL,3.246,3.525,3.224,3.511,530003.0,1761674.961,2368
1643846400000,2022-02-03,XRPBRL,3.204,3.256,3.128,3.256,240267.0,768356.143,1283
1643760000000,2022-02-02,XRPBRL,3.342,3.35,3.169,3.192,363260.0,1190670.467,1523
1643673600000,2022-02-01,XRPBRL,3.293,3.358,3.268,3.339,357894.0,1185593.697,1582
1643587200000,2022-01-31,XRPBRL,3.269,3.331,3.161,3.302,371945.0,1198692.105,1317
1643500800000,2022-01-30,XRPBRL,3.347,3.375,3.25,3.271,170977.0,566314.641,889
1643414400000,2022-01-29,XRPBRL,3.312,3.391,3.3,3.356,230930.0,772481.505,830
1643328000000,2022-01-28,XRPBRL,3.322,3.348,3.225,3.317,394717.0,1292504.715,1303
1643241600000,2022-01-27,XRPBRL,3.399,3.432,3.218,3.32,411420.0,1360820.239,1573
1643155200000,2022-01-26,XRPBRL,3.407,3.584,3.328,3.401,866802.0,3004804.611,2470
1643068800000,2022-01-25,XRPBRL,3.38,3.437,3.265,3.402,437663.0,1469708.046,1830
1642982400000,2022-01-24,XRPBRL,3.466,3.471,3.064,3.396,1267268.0,4085789.738,3350
1642896000000,2022-01-23,XRPBRL,3.297,3.507,3.267,3.472,541336.0,1826999.731,2289
