https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume SHIB,Volume BRL,tradecount
1635724800000,2021-11-01,SHIBBRL,0.00038291,0.00042847,0.00037395,0.00041008,200084858470.0,81566285.37405705,53034
1635638400000,2021-10-31,SHIBBRL,0.000372,0.000397,0.00033246,0.00038292,161825938318.0,60185085.47342875,46522
1635552000000,2021-10-30,SHIBBRL,0.00042767,0.00044386,0.00035328,0.00037262,220994858758.0,89970516.30813278,58940
1635465600000,2021-10-29,SHIBBRL,0.00039202,0.00044,0.00034593,0.00042767,390957791678.0,157404728.58370057,92195
1635379200000,2021-10-28,SHIBBRL,0.00044687,0.000497,0.00031925,0.00039189,707313502215.0,289207629.66014093,178134
1635292800000,2021-10-27,SHIBBRL,0.00026972,0.00049769,0.00026438,0.00044702,1029108028681.0,380865997.42195094,197558
1635206400000,2021-10-26,SHIBBRL,0.00023695,0.00027829,0.00022689,0.00026972,420396915480.0,109724722.09171182,71407
1635120000000,2021-10-25,SHIBBRL,0.00020497,0.0002438,0.00019952,0.00023691,311029650617.0,70488499.9807745,50664
1635033600000,2021-10-24,SHIBBRL,0.00019239,0.00025389,0.00018761,0.0002049,734666594919.0,162922160.2063906,90871
1634947200000,2021-10-23,SHIBBRL,0.00015867,0.00019684,0.0001571,0.00019253,261631456790.0,47576564.60831184,35679
1634860800000,2021-10-22,SHIBBRL,0.00015576,0.00016139,0.00015309,0.00015866,81359670088.0,12836192.21795284,13964
1634774400000,2021-10-21,SHIBBRL,0.00016379,0.00016379,0.00015321,0.00015586,138574036824.0,22018916.1320393,18160
1634688000000,2021-10-20,SHIBBRL,0.00015663,0.00016502,0.00015122,0.00016358,119190569938.0,18798384.96526311,17976
1634601600000,2021-10-19,SHIBBRL,0.0001587,0.00016163,0.00015358,0.00015663,100410868034.0,15807914.26565151,16401
1634515200000,2021-10-18,SHIBBRL,0.00015299,0.00016449,0.00014542,0.0001587,206698410042.0,32326723.8880007,27611
1634428800000,2021-10-17,SHIBBRL,0.00014185,0.00015988,0.00013138,0.00015304,132676067139.0,19493768.61573294,15182
1634342400000,2021-10-16,SHIBBRL,0.0001392,0.000146,0.0001365,0.00014185,73918841515.0,10458374.43734935,11545
1634256000000,2021-10-15,SHIBBRL,0.00015285,0.00015285,0.00012938,0.00013922,241862258415.0,34319838.88467737,26846
1634169600000,2021-10-14,SHIBBRL,0.00016128,0.00016492,0.00014533,0.00015287,156683001614.0,24450011.00944317,19775
1634083200000,2021-10-13,SHIBBRL,0.00016232,0.00017117,0.000155,0.00016114,137849532915.0,22288231.45961387,18820
1633996800000,2021-10-12,SHIBBRL,0.00017128,0.00017603,0.000153,0.00016226,217714241318.0,35845349.4783067,26135
1633910400000,2021-10-11,SHIBBRL,0.00014545,0.000178,0.00014387,0.0001713,372622958553.0,61480468.49894998,43086
1633824000000,2021-10-10,SHIBBRL,0.00014747,0.00015343,0.00013912,0.0001455,166908822147.0,24379754.59778558,19156
1633737600000,2021-10-09,SHIBBRL,0.00015169,0.00016641,0.00013523,0.00014791,326176393609.0,48955015.25221927,33618
1633651200000,2021-10-08,SHIBBRL,0.0001264,0.00016354,0.00011404,0.00015146,638602425150.0,91117255.4023954,58205
1633564800000,2021-10-07,SHIBBRL,0.00015301,0.00019317,0.00011393,0.00012646,1179758376741.0,182682456.7823932,116060
1633478400000,2021-10-06,SHIBBRL,9.515e-05,0.00015917,9.12e-05,0.00015349,792982691274.0,100585317.60018314,72532
1633392000000,2021-10-05,SHIBBRL,7.313e-05,0.00010948,6.554e-05,9.533e-05,747360629963.0,67809563.68755129,58026
1633305600000,2021-10-04,SHIBBRL,4.575e-05,8.19e-05,4.42e-05,7.32e-05,489324354800.0,32259800.22338326,31248
1633219200000,2021-10-03,SHIBBRL,4.233e-05,4.824e-05,4.113e-05,4.575e-05,73645385062.0,3310032.36083264,5033
1633132800000,2021-10-02,SHIBBRL,4.117e-05,4.41e-05,3.984e-05,4.23e-05,43323560652.0,1819029.61254522,3481
1633046400000,2021-10-01,SHIBBRL,3.925e-05,4.177e-05,3.894e-05,4.13e-05,32370818748.0,1313394.15324194,3123
1632960000000,2021-09-30,SHIBBRL,3.837e-05,4.05e-05,3.807e-05,3.925e-05,23950872863.0,933055.00887064,2253
1632873600000,2021-09-29,SHIBBRL,3.81e-05,3.912e-05,3.78e-05,3.837e-05,19438620645.0,746928.84690027,1677
1632787200000,2021-09-28,SHIBBRL,3.78e-05,3.913e-05,3.733e-05,3.81e-05,25739183026.0,981136.92589919,1857
1632700800000,2021-09-27,SHIBBRL,3.82e-05,3.887e-05,3.742e-05,3.78e-05,25719574328.0,984597.60893496,1740
1632614400000,2021-09-26,SHIBBRL,3.954e-05,3.954e-05,3.697e-05,3.832e-05,27291762954.0,1045932.34964584,1845
1632528000000,2021-09-25,SHIBBRL,3.972e-05,4.089e-05,3.847e-05,3.954e-05,27282779997.0,1080442.04876795,1988
1632441600000,2021-09-24,SHIBBRL,4.08e-05,4.19e-05,3.639e-05,3.959e-05,57976236483.0,2298400.41337706,3676
1632355200000,2021-09-23,SHIBBRL,3.87e-05,4.14e-05,3.799e-05,4.08e-05,42595778144.0,1708646.77221635,3499
1632268800000,2021-09-22,SHIBBRL,3.666e-05,3.967e-05,3.649e-05,3.87e-05,46838049437.0,1786469.30556763,2793
1632182400000,2021-09-21,SHIBBRL,3.761e-05,3.95e-05,3.53e-05,3.659e-05,39815990124.0,1490558.98029313,3330
1632096000000,2021-09-20,SHIBBRL,4.304e-05,4.31e-05,3.667e-05,3.75e-05,68097291590.0,2663209.96149844,4383
1632009600000,2021-09-19,SHIBBRL,4.161e-05,4.474e-05,3.928e-05,4.303e-05,74604537070.0,3169343.87221913,4301
1631923200000,2021-09-18,SHIBBRL,4.5e-05,4.592e-05,4.039e-05,4.172e-05,55722688756.0,2377084.18133054,4523
1631836800000,2021-09-17,SHIBBRL,4.52e-05,5.016e-05,4.312e-05,4.5e-05,211399770259.0,9815932.48745501,13377
1631750400000,2021-09-16,SHIBBRL,3.544e-05,4.7e-05,3.45e-05,4.508e-05,197603092388.0,8372897.21324493,10800
1631664000000,2021-09-15,SHIBBRL,3.503e-05,3.63e-05,3.468e-05,3.552e-05,31184506118.0,1111141.9673572,2468
