https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume LINK,Volume BRL,tradecount
1635379200000,2021-10-28,LINKBRL,163.0,175.2,161.0,171.9,13967.59,2376888.934,1603
1635292800000,2021-10-27,LINKBRL,182.9,190.1,155.0,162.4,25530.68,4316194.82,2900
1635206400000,2021-10-26,LINKBRL,181.7,190.1,176.3,182.9,14602.24,2660410.4712527,2280
1635120000000,2021-10-25,LINKBRL,169.2,184.5,168.2,181.7,17173.77,3094644.324,2056
1635033600000,2021-10-24,LINKBRL,178.4,179.1,163.9,169.1,8898.95,1519451.949,1240
1634947200000,2021-10-23,LINKBRL,163.2,178.6,161.3,178.6,12372.46,2128604.758,1436
1634860800000,2021-10-22,LINKBRL,160.3,171.6,160.0,163.0,16166.56,2669299.876,1695
1634774400000,2021-10-21,LINKBRL,154.0,166.0,152.5,160.2,21104.4,3369721.605,2175
1634688000000,2021-10-20,LINKBRL,144.8,154.7,144.7,153.8,18141.17,2723718.531,1638
1634601600000,2021-10-19,LINKBRL,142.4,145.7,141.3,144.8,9225.21,1321941.889,842
1634515200000,2021-10-18,LINKBRL,146.5,147.0,140.5,142.1,8763.04,1255280.899,920
1634428800000,2021-10-17,LINKBRL,150.1,152.0,141.6,146.2,12609.53,1871061.12,877
1634342400000,2021-10-16,LINKBRL,149.3,158.1,148.3,150.3,13062.12,2006211.932,1069
1634256000000,2021-10-15,LINKBRL,148.7,150.6,144.1,148.9,11632.58,1716108.429,1125
1634169600000,2021-10-14,LINKBRL,142.5,154.4,141.0,148.7,22244.42,3330846.117,1739
1634083200000,2021-10-13,LINKBRL,137.5,142.4,135.4,142.4,13321.29,1842206.795,951
1633996800000,2021-10-12,LINKBRL,139.8,139.9,131.7,137.6,10241.07,1394735.238,854
1633910400000,2021-10-11,LINKBRL,142.0,147.3,137.7,140.3,8316.15,1187821.485,877
1633824000000,2021-10-10,LINKBRL,152.0,152.1,141.8,142.6,5235.73,771156.341,597
1633737600000,2021-10-09,LINKBRL,145.8,154.3,144.8,151.8,6398.04,960386.193,714
1633651200000,2021-10-08,LINKBRL,148.0,150.8,145.4,146.8,6425.19,952022.936,838
1633564800000,2021-10-07,LINKBRL,147.3,152.7,142.4,148.5,9546.96,1414056.174,1098
1633478400000,2021-10-06,LINKBRL,149.6,155.1,138.4,147.6,19666.56,2911860.187,1722
1633392000000,2021-10-05,LINKBRL,144.8,150.6,143.0,149.5,11284.32,1656223.064,1000
1633305600000,2021-10-04,LINKBRL,147.5,148.1,139.5,144.7,7473.14,1072615.189,860
1633219200000,2021-10-03,LINKBRL,144.1,150.3,142.6,147.6,9343.28,1362380.718,679
1633132800000,2021-10-02,LINKBRL,140.8,148.7,138.3,144.7,10997.75,1597525.846,751
1633046400000,2021-10-01,LINKBRL,130.4,143.0,128.2,141.0,11851.24,1632061.551,1045
1632960000000,2021-09-30,LINKBRL,124.5,132.1,124.5,130.5,6159.34,797460.557,519
1632873600000,2021-09-29,LINKBRL,121.1,129.8,120.5,125.4,8529.36,1069123.387,565
