https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume BRL,tradecount
1674432000000,2023-01-23,BTCBRL,118703.0,120689.0,117718.0,119526.0,306.41518,36557775.03136,31635
1674345600000,2023-01-22,BTCBRL,118890.0,120275.0,116631.0,118726.0,250.2995,29708116.16055,27186
1674259200000,2023-01-21,BTCBRL,118147.0,121909.0,116796.0,118890.0,397.36649,47559302.73301,43890
1674172800000,2023-01-20,BTCBRL,109652.0,118312.0,108617.0,118147.0,446.19821,50298069.35458,39584
1674086400000,2023-01-19,BTCBRL,107359.0,110020.0,107300.0,109652.0,291.57245,31767425.82075,29142
1674000000000,2023-01-18,BTCBRL,108876.0,110436.0,105522.0,107326.0,437.58653,47491512.81616,30282
1673913600000,2023-01-17,BTCBRL,109542.0,111227.0,108041.0,108868.0,376.47754,41190811.00004,27821
1673827200000,2023-01-16,BTCBRL,107221.0,111000.0,106252.0,109551.0,400.38625,43457145.18338,36755
1673740800000,2023-01-15,BTCBRL,107531.0,108225.0,105426.0,107246.0,219.09668,23389708.33838,23561
1673654400000,2023-01-14,BTCBRL,102329.0,108880.0,102124.0,107470.0,585.48291,62315799.78099,49497
1673568000000,2023-01-13,BTCBRL,97424.0,102683.0,96740.0,102329.0,550.47087,54476866.58364,41495
1673481600000,2023-01-12,BTCBRL,93441.0,98036.0,93246.0,97429.0,783.43057,74445254.20849,47959
1673395200000,2023-01-11,BTCBRL,91432.0,93694.0,90738.0,93440.0,419.07025,38301645.68208,31486
1673308800000,2023-01-10,BTCBRL,90831.0,91791.0,90625.0,91444.0,365.86655,33364131.6561,32050
1673222400000,2023-01-09,BTCBRL,91121.0,92500.0,90650.0,90801.0,488.31589,44739799.99079,36633
1673136000000,2023-01-08,BTCBRL,89729.0,91300.0,89500.0,91121.0,190.34701,17153214.8503,18179
1673049600000,2023-01-07,BTCBRL,89502.0,89990.0,89427.0,89728.0,127.71555,11457215.00513,15995
1672963200000,2023-01-06,BTCBRL,90583.0,90724.0,88810.0,89484.0,356.59743,31955286.33577,27410
1672876800000,2023-01-05,BTCBRL,91371.0,91488.0,90525.0,90572.0,398.45584,36261363.37219,29091
1672790400000,2023-01-04,BTCBRL,90302.0,92890.0,89851.0,91362.0,534.86044,48890619.04374,39437
1672704000000,2023-01-03,BTCBRL,88665.0,90433.0,88495.0,90298.0,341.17615,30512078.70139,28272
1672617600000,2023-01-02,BTCBRL,88181.0,89402.0,87922.0,88655.0,272.77675,24252728.18949,25592
1672531200000,2023-01-01,BTCBRL,88082.0,88390.0,87795.0,88170.0,79.59636,7015665.1239,10667
1672444800000,2022-12-31,BTCBRL,88724.0,88804.0,87789.0,88087.0,187.95651,16602728.61633,20580
1672358400000,2022-12-30,BTCBRL,88387.0,88907.0,87200.0,88747.0,317.29528,27928891.60461,25126
1672272000000,2022-12-29,BTCBRL,87799.0,88671.0,87028.0,88385.0,345.73396,30366719.17512,27455
1672185600000,2022-12-28,BTCBRL,88535.0,88840.0,87650.0,87800.0,339.31111,29893951.70129,29481
1672099200000,2022-12-27,BTCBRL,88488.0,89355.0,88002.0,88531.0,325.17705,28826858.00517,25709
1672012800000,2022-12-26,BTCBRL,87235.0,88681.0,87200.0,88480.0,215.94343,18986719.06668,20527
1671926400000,2022-12-25,BTCBRL,87215.0,87343.0,86713.0,87258.0,88.78726,7735164.23122,9978
1671840000000,2022-12-24,BTCBRL,86952.0,87394.0,86854.0,87190.0,99.66639,8688949.92098,13140
1671753600000,2022-12-23,BTCBRL,87839.0,88667.0,86750.0,86951.0,501.12341,43945549.56192,28907
1671667200000,2022-12-22,BTCBRL,88135.0,88440.0,86706.0,87865.0,404.31068,35389677.81484,26806
1671580800000,2022-12-21,BTCBRL,88649.0,88766.0,87514.0,88132.0,364.48448,32111813.75293,29589
1671494400000,2022-12-20,BTCBRL,87451.0,89708.0,87195.0,88649.0,506.98673,44926435.3138,41786
1671408000000,2022-12-19,BTCBRL,88737.0,89200.0,86619.0,87476.0,327.32972,28938597.13468,32269
1671321600000,2022-12-18,BTCBRL,88933.0,89291.0,88178.0,88744.0,106.6558,9454315.95584,16382
1671235200000,2022-12-17,BTCBRL,88563.0,89035.0,88001.0,88889.0,180.42438,15976746.73037,23296
1671148800000,2022-12-16,BTCBRL,92156.0,92659.0,88013.0,88566.0,501.65796,45098224.3706,42098
1671062400000,2022-12-15,BTCBRL,93538.0,93759.0,91835.0,92153.0,346.06531,32108417.30886,35109
1670976000000,2022-12-14,BTCBRL,93179.0,97195.0,92892.0,93534.0,597.33228,56494936.52284,50609
1670889600000,2022-12-13,BTCBRL,90353.0,93942.0,89621.0,93172.0,666.52712,61560040.33093,55612
