Unix,Date,Symbol,Open,High,Low,Close,Volume AXS,Volume BRL,tradecount
1676160000000,2023-02-12,AXSBRL,54.4,54.8,51.1,52.3,5034.05,269330.233,252
1676073600000,2023-02-11,AXSBRL,53.2,55.9,52.9,54.3,1540.28,82871.615,218
1675987200000,2023-02-10,AXSBRL,54.0,55.5,52.4,53.3,7443.86,399256.972,468
1675900800000,2023-02-09,AXSBRL,62.7,64.9,53.2,54.3,12272.41,725089.783,915
1675814400000,2023-02-08,AXSBRL,60.9,64.4,59.6,62.2,9618.46,596936.596,740
1675728000000,2023-02-07,AXSBRL,55.5,61.0,55.4,60.7,7549.28,440080.748,496
1675641600000,2023-02-06,AXSBRL,56.9,58.2,54.5,55.1,3868.26,218031.094,369
1675555200000,2023-02-05,AXSBRL,59.0,61.1,55.2,56.9,3916.91,226592.635,302
1675468800000,2023-02-04,AXSBRL,59.0,60.5,57.6,58.7,4192.42,247679.273,344
1675382400000,2023-02-03,AXSBRL,57.2,59.8,56.2,59.0,4851.51,282137.872,349
1675296000000,2023-02-02,AXSBRL,58.2,60.3,56.0,56.7,8335.05,486915.741,563
1675209600000,2023-02-01,AXSBRL,56.2,58.3,52.4,58.0,6351.53,353497.289,408
1675123200000,2023-01-31,AXSBRL,55.7,56.2,53.9,55.5,5910.78,326031.916,545
1675036800000,2023-01-30,AXSBRL,62.4,63.2,54.0,55.4,10220.84,590506.643,746
1674950400000,2023-01-29,AXSBRL,58.6,63.4,57.9,62.5,9461.16,575333.841,669
1674864000000,2023-01-28,AXSBRL,59.2,63.2,57.8,58.5,7353.65,440957.03,540
1674777600000,2023-01-27,AXSBRL,60.6,61.0,56.5,59.0,6206.96,362445.616,459
1674691200000,2023-01-26,AXSBRL,59.9,63.6,58.5,60.8,13184.91,805847.009,973
1674604800000,2023-01-25,AXSBRL,57.9,63.1,54.6,60.1,14699.16,862532.535,1021
1674518400000,2023-01-24,AXSBRL,63.7,65.1,56.6,57.6,11328.94,693663.166,936
1674432000000,2023-01-23,AXSBRL,65.5,73.2,63.0,63.7,23852.81,1597600.836,1473
1674345600000,2023-01-22,AXSBRL,47.0,65.9,47.0,65.9,28448.19,1610375.182,1771
1674259200000,2023-01-21,AXSBRL,47.4,50.0,45.5,46.7,8034.15,385958.254,823
1674172800000,2023-01-20,AXSBRL,43.2,47.6,42.7,47.3,5068.47,227168.68,569
1674086400000,2023-01-19,AXSBRL,41.8,44.2,41.8,43.4,4255.78,182988.719,723
1674000000000,2023-01-18,AXSBRL,45.7,46.1,40.0,41.7,8538.92,376305.587,1059
1673913600000,2023-01-17,AXSBRL,46.3,47.5,44.8,45.4,9090.71,419051.05,833
1673827200000,2023-01-16,AXSBRL,47.8,48.9,44.2,46.4,10516.32,491986.848,996
1673740800000,2023-01-15,AXSBRL,48.0,48.5,44.9,47.8,7692.95,361226.158,562
1673654400000,2023-01-14,AXSBRL,46.7,52.0,45.0,48.2,12680.45,607287.982,714
1673568000000,2023-01-13,AXSBRL,41.1,47.8,40.4,46.6,12907.69,578211.563,514
1673481600000,2023-01-12,AXSBRL,39.3,42.9,38.9,41.1,7484.66,306654.923,405
1673395200000,2023-01-11,AXSBRL,39.3,39.4,37.3,38.9,2541.4,97399.005,184
1673308800000,2023-01-10,AXSBRL,39.1,39.9,37.9,39.2,3633.73,142075.249,178
1673222400000,2023-01-09,AXSBRL,38.4,41.6,37.8,38.6,7637.93,301175.031,408
1673136000000,2023-01-08,AXSBRL,36.4,38.7,35.7,38.2,2541.94,94619.842,186
1673049600000,2023-01-07,AXSBRL,36.2,37.6,35.9,36.4,1986.69,73497.673,153
1672963200000,2023-01-06,AXSBRL,36.5,36.5,34.7,35.9,2168.92,77031.062,186
1672876800000,2023-01-05,AXSBRL,36.4,38.6,35.6,36.5,3031.4,111895.152,250
1672790400000,2023-01-04,AXSBRL,35.1,36.6,35.1,35.9,2912.62,104824.897,176
1672704000000,2023-01-03,AXSBRL,33.9,35.5,33.8,35.1,2772.65,95408.877,179
1672617600000,2023-01-02,AXSBRL,33.5,34.9,32.4,33.9,4354.9,147404.227,242
1672531200000,2023-01-01,AXSBRL,32.0,34.5,31.5,33.5,3884.15,129537.924,148
1672444800000,2022-12-31,AXSBRL,31.8,32.6,31.7,32.6,1139.91,36736.209,105
1672358400000,2022-12-30,AXSBRL,32.6,32.8,31.0,31.9,4325.22,137386.051,249
1672272000000,2022-12-29,AXSBRL,33.5,33.6,31.1,32.8,5573.55,179630.678,261
1672185600000,2022-12-28,AXSBRL,35.5,35.6,32.9,33.3,4210.4,142332.829,262
1672099200000,2022-12-27,AXSBRL,36.3,38.1,35.1,35.6,3062.75,112141.953,152
1672012800000,2022-12-26,AXSBRL,35.7,36.2,35.0,35.9,1276.67,45408.534,168
1671926400000,2022-12-25,AXSBRL,36.1,36.9,35.0,35.9,1093.43,39037.789,117
1671840000000,2022-12-24,AXSBRL,36.9,37.1,36.1,36.3,882.75,32079.061,101
1671753600000,2022-12-23,AXSBRL,36.6,37.7,36.1,36.6,2352.32,86292.215,133
1671667200000,2022-12-22,AXSBRL,35.5,38.0,35.1,36.9,3873.33,141129.962,233
1671580800000,2022-12-21,AXSBRL,36.5,36.7,35.2,35.7,880.47,31508.369,117
1671494400000,2022-12-20,AXSBRL,34.8,36.9,34.8,36.5,4471.97,162248.862,232
1671408000000,2022-12-19,AXSBRL,36.3,37.5,34.0,34.7,2274.47,82095.934,205
1671321600000,2022-12-18,AXSBRL,36.5,36.7,35.8,36.3,770.55,27872.97,73
1671235200000,2022-12-17,AXSBRL,35.9,37.4,34.8,36.5,4676.2,167146.949,245
1671148800000,2022-12-16,AXSBRL,39.8,40.4,34.8,35.6,3524.3,132966.241,237
1671062400000,2022-12-15,AXSBRL,40.8,40.8,39.5,39.8,1682.11,67471.559,157
1670976000000,2022-12-14,AXSBRL,40.3,42.6,38.8,40.6,8841.41,360813.015,488
1670889600000,2022-12-13,AXSBRL,40.6,40.7,38.1,40.3,4873.26,192294.352,405
1670803200000,2022-12-12,AXSBRL,42.2,42.4,39.2,40.6,11018.15,447490.781,452
1670716800000,2022-12-11,AXSBRL,43.5,43.9,41.6,42.2,3115.39,133205.037,251
1670630400000,2022-12-10,AXSBRL,41.5,45.6,41.2,43.6,13773.93,603366.087,790
1670544000000,2022-12-09,AXSBRL,43.1,45.0,41.6,42.1,6953.14,294053.384,381
1670457600000,2022-12-08,AXSBRL,44.4,50.3,41.5,43.3,27983.89,1247313.559,983
1670371200000,2022-12-07,AXSBRL,46.0,48.5,43.2,44.2,24640.52,1132406.709,1465
1670284800000,2022-12-06,AXSBRL,46.4,52.0,43.4,46.5,69799.02,3256565.239,2987
1670198400000,2022-12-05,AXSBRL,36.0,55.0,36.0,46.3,134697.63,5911364.81,4676
1670112000000,2022-12-04,AXSBRL,35.3,36.5,29.4,36.0,111115.77,3453192.691,553
