Unix,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume BRL,tradecount
1649376000000,2022-04-08,ETHBRL,15466.05,15868.43,15059.01,15139.5,2191.3467,33975369.391751,10810
1649289600000,2022-04-07,ETHBRL,15063.29,15596.99,14962.12,15483.17,1843.0481,28250012.903349,10624
1649203200000,2022-04-06,ETHBRL,15972.23,15972.23,15032.2,15075.4,3431.1478,53013841.492029,16627
1649116800000,2022-04-05,ETHBRL,16317.65,16485.0,15931.01,15965.25,2021.2745,32803623.480877,11162
1649030400000,2022-04-04,ETHBRL,16563.69,16566.18,15878.8,16322.9,2545.8143,41235824.17536,11494
1648944000000,2022-04-03,ETHBRL,16206.01,16814.14,16054.45,16549.83,1470.0277,24167792.229256,8082
1648857600000,2022-04-02,ETHBRL,16271.24,16592.35,16151.85,16198.02,1819.7531,29771537.502228,8922
1648771200000,2022-04-01,ETHBRL,15702.75,16459.0,15347.52,16275.08,2847.052,45437131.399866,16925
1648684800000,2022-03-31,ETHBRL,16272.48,16552.51,15561.99,15702.75,2519.9855,40233023.09749,14283
1648598400000,2022-03-30,ETHBRL,16319.31,16564.99,15989.91,16299.96,1507.9708,24508215.182229,9641
1648512000000,2022-03-29,ETHBRL,15956.28,16632.01,15953.37,16313.22,2248.4826,36760842.131703,11486
1648425600000,2022-03-28,ETHBRL,15690.45,16446.5,15579.99,15972.59,2622.9284,42213469.31683,14617
1648339200000,2022-03-27,ETHBRL,15049.43,15815.97,14965.46,15695.0,1304.8372,20043352.70955,7283
1648252800000,2022-03-26,ETHBRL,14855.8,15080.24,14770.12,15051.0,700.3141,10460485.063621,4893
1648166400000,2022-03-25,ETHBRL,15054.25,15408.94,14770.14,14852.25,1872.6061,28213622.451654,9918
1648080000000,2022-03-24,ETHBRL,14767.39,15199.76,14558.04,15065.0,2386.2787,35621109.633416,10775
1647993600000,2022-03-23,ETHBRL,14699.37,14877.13,14391.07,14757.72,1465.6002,21410870.94008,8280
1647907200000,2022-03-22,ETHBRL,14374.0,15091.15,14348.0,14683.69,2975.4407,44041582.546054,11574
1647820800000,2022-03-21,ETHBRL,14469.52,14774.04,14309.81,14374.0,2303.2564,33524910.907393,9423
1647734400000,2022-03-20,ETHBRL,14915.56,14968.15,14221.76,14452.89,992.6136,14452700.934827,5719
1647648000000,2022-03-19,ETHBRL,14822.7,15086.19,14617.72,14910.01,1174.1072,17498619.274147,6998
1647561600000,2022-03-18,ETHBRL,14218.46,15020.44,13984.5,14825.0,2003.8628,29094649.966479,10537
1647475200000,2022-03-17,ETHBRL,14112.78,14509.97,13973.71,14220.17,1703.5024,24227856.63702,8733
