Unix,Date,Symbol,Open,High,Low,Close,Volume FIS,Volume BRL,tradecount
1673654400000,2023-01-14,FISBRL,2.48,2.616,2.27,2.371,62784.7,152530.8097,361
1673568000000,2023-01-13,FISBRL,2.232,2.704,2.231,2.485,114879.0,291935.8712,556
1673481600000,2023-01-12,FISBRL,2.113,2.331,2.095,2.297,91183.7,200372.6507,369
1673395200000,2023-01-11,FISBRL,2.162,2.6,2.06,2.122,216494.3,496675.1115,840
1673308800000,2023-01-10,FISBRL,2.113,2.211,2.01,2.199,103517.6,218130.1349,245
1673222400000,2023-01-09,FISBRL,2.114,2.4,2.038,2.059,103991.0,225008.4107,403
1673136000000,2023-01-08,FISBRL,1.76,2.315,1.724,2.14,236265.8,490397.4105,722
1673049600000,2023-01-07,FISBRL,1.781,1.87,1.705,1.705,50173.8,90519.9989,204
1672963200000,2023-01-06,FISBRL,1.965,2.038,1.692,1.782,136556.7,247743.0781,501
1672876800000,2023-01-05,FISBRL,1.615,2.134,1.554,1.949,353688.0,662131.3137,887
1672790400000,2023-01-04,FISBRL,1.51,1.632,1.483,1.623,92032.3,144438.3769,297
1672704000000,2023-01-03,FISBRL,1.63,1.716,1.451,1.508,87224.1,134744.0494,244
1672617600000,2023-01-02,FISBRL,1.342,1.721,1.341,1.632,331824.6,499802.7146,795
1672531200000,2023-01-01,FISBRL,1.333,1.337,1.314,1.337,443.0,590.8314,8
1672444800000,2022-12-31,FISBRL,1.358,1.364,1.308,1.308,2834.0,3768.778,23
1672358400000,2022-12-30,FISBRL,1.318,1.349,1.315,1.34,6126.4,8179.3805,39
1672272000000,2022-12-29,FISBRL,1.317,1.323,1.28,1.31,45719.2,60089.7971,79
1672185600000,2022-12-28,FISBRL,1.399,1.403,1.3,1.311,45839.4,60489.67,93
1672099200000,2022-12-27,FISBRL,1.317,1.389,1.285,1.363,50534.9,68111.2634,151
1672012800000,2022-12-26,FISBRL,1.26,1.496,1.26,1.324,160689.8,228111.144,369
1671926400000,2022-12-25,FISBRL,1.304,1.305,1.256,1.268,11414.8,14805.3778,71
1671840000000,2022-12-24,FISBRL,1.501,1.539,1.282,1.294,178327.0,249089.6246,263
1671753600000,2022-12-23,FISBRL,1.234,1.57,1.231,1.488,231197.5,323320.8304,522
1671667200000,2022-12-22,FISBRL,1.271,1.272,1.215,1.254,33427.4,41915.1414,98
1671580800000,2022-12-21,FISBRL,1.277,1.279,1.237,1.25,13482.7,16962.7199,34
