Unix,Date,Symbol,Open,High,Low,Close,Volume WIN,Volume BRL,tradecount
1654041600000,2022-06-01,WINBRL,0.000767,0.000838,0.000735,0.00074,1370872458.0,1061645.216018,3370
1653955200000,2022-05-31,WINBRL,0.000758,0.000772,0.000723,0.000768,1489593039.0,1115555.297771,3050
1653868800000,2022-05-30,WINBRL,0.000707,0.000765,0.000702,0.000758,2511138897.0,1841349.765542,3996
1653782400000,2022-05-29,WINBRL,0.000703,0.000711,0.000683,0.000707,1915503920.0,1341676.356425,3289
1653696000000,2022-05-28,WINBRL,0.000691,0.000722,0.000687,0.000703,1562523329.0,1097960.440074,3597
1653609600000,2022-05-27,WINBRL,0.000715,0.000728,0.000677,0.000691,2524204782.0,1773768.436158,5681
1653523200000,2022-05-26,WINBRL,0.000796,0.000811,0.000709,0.000715,2292326048.0,1705870.664156,5194
1653436800000,2022-05-25,WINBRL,0.000828,0.00087,0.000779,0.000797,2573487087.0,2071885.149917,6264
1653350400000,2022-05-24,WINBRL,0.000713,0.001006,0.000713,0.000829,4493910744.0,3736141.374992,7845
1653264000000,2022-05-23,WINBRL,0.000714,0.000769,0.000704,0.000712,3639700989.0,2642698.345026,6212
1653177600000,2022-05-22,WINBRL,0.000735,0.000738,0.000699,0.000715,3095305888.0,2223157.152308,5056
1653091200000,2022-05-21,WINBRL,0.00069,0.000737,0.000681,0.000734,2376383431.0,1684727.728065,4011
1653004800000,2022-05-20,WINBRL,0.000714,0.000723,0.000681,0.000691,2885675768.0,2020015.845429,4508
1652918400000,2022-05-19,WINBRL,0.000695,0.000716,0.000689,0.000714,3272984161.0,2301320.411344,5364
1652832000000,2022-05-18,WINBRL,0.000729,0.000736,0.000694,0.000694,3577155897.0,2550916.616881,6085
1652745600000,2022-05-17,WINBRL,0.0007,0.000734,0.000696,0.000731,3624315637.0,2607371.154136,5636
1652659200000,2022-05-16,WINBRL,0.000758,0.000758,0.000698,0.0007,3135976996.0,2261030.074218,5619
1652572800000,2022-05-15,WINBRL,0.000739,0.000766,0.000712,0.000757,2943682176.0,2155351.864716,5088
1652486400000,2022-05-14,WINBRL,0.000761,0.00078,0.000704,0.00074,4604048576.0,3438534.157793,7245
1652400000000,2022-05-13,WINBRL,0.000698,0.000831,0.000689,0.00076,8256670370.0,6402820.808831,10945
1652313600000,2022-05-12,WINBRL,0.000808,0.000836,0.000686,0.000697,5022140596.0,3697477.723059,7275
1652227200000,2022-05-11,WINBRL,0.00105,0.001088,0.000669,0.000805,6289792572.0,5702894.531519,10100
1652140800000,2022-05-10,WINBRL,0.001038,0.001133,0.001023,0.001054,4377140702.0,4746687.061139,8209
1652054400000,2022-05-09,WINBRL,0.001199,0.0012,0.001034,0.001034,4743390858.0,5278833.46428,8227
1651968000000,2022-05-08,WINBRL,0.001231,0.001248,0.001187,0.001198,4133679467.0,5005590.893779,7500
1651881600000,2022-05-07,WINBRL,0.001279,0.001321,0.001203,0.001228,4235495768.0,5358347.112328,5047
1651795200000,2022-05-06,WINBRL,0.001218,0.001296,0.001205,0.001278,4896523130.0,6074518.909806,4493
1651708800000,2022-05-05,WINBRL,0.0013,0.001311,0.00119,0.001218,2256514075.0,2804417.079838,2510
1651622400000,2022-05-04,WINBRL,0.001232,0.0013,0.001214,0.0013,4011068092.0,5055589.532885,3841
1651536000000,2022-05-03,WINBRL,0.001266,0.001298,0.001211,0.001233,3196884613.0,4009801.216577,3063
1651449600000,2022-05-02,WINBRL,0.001289,0.001312,0.001213,0.001266,3094285864.0,3916551.578762,3134
1651363200000,2022-05-01,WINBRL,0.001213,0.001313,0.001197,0.00129,2340815663.0,2966099.823848,2554
1651276800000,2022-04-30,WINBRL,0.001265,0.001283,0.001214,0.001214,2001353626.0,2534299.052047,2477
1651190400000,2022-04-29,WINBRL,0.001339,0.001355,0.001255,0.001266,3853834122.0,5007088.781245,3876
1651104000000,2022-04-28,WINBRL,0.001334,0.001365,0.001312,0.001339,3179901053.0,4267638.039871,3128
1651017600000,2022-04-27,WINBRL,0.00133,0.001361,0.00131,0.001335,2495518732.0,3333671.883601,2688
1650931200000,2022-04-26,WINBRL,0.001395,0.001399,0.001326,0.001333,3187146726.0,4332849.603208,3474
1650844800000,2022-04-25,WINBRL,0.001398,0.001401,0.001311,0.001397,3413339304.0,4647959.941122,3695
1650758400000,2022-04-24,WINBRL,0.001458,0.001461,0.001391,0.0014,2637298044.0,3752102.447847,2978
1650672000000,2022-04-23,WINBRL,0.001438,0.001511,0.001435,0.001457,3180978099.0,4673113.833276,3558
1650585600000,2022-04-22,WINBRL,0.001394,0.001532,0.001384,0.001437,10615389585.0,15509506.925293,5470
1650499200000,2022-04-21,WINBRL,0.001357,0.00149,0.001355,0.001395,4461739683.0,6251263.797137,4738
1650412800000,2022-04-20,WINBRL,0.001386,0.001437,0.001342,0.001357,2728074535.0,3751078.698051,3199
1650326400000,2022-04-19,WINBRL,0.001342,0.001391,0.001333,0.001388,3022130139.0,4116882.106814,3014
