Unix,Date,Symbol,Open,High,Low,Close,Volume C98,Volume BRL,tradecount
1650153600000,2022-04-17,C98BRL,7.38,7.4,7.03,7.03,9309.3,68078.111,121
1650067200000,2022-04-16,C98BRL,7.31,7.6,7.09,7.43,207526.7,1544501.831,375
1649980800000,2022-04-15,C98BRL,7.53,7.58,7.2,7.27,9103.0,68018.611,133
1649894400000,2022-04-14,C98BRL,7.67,7.9,7.23,7.53,44021.4,325223.623,249
1649808000000,2022-04-13,C98BRL,7.35,8.04,7.25,7.68,93459.0,726634.353,479
1649721600000,2022-04-12,C98BRL,6.53,7.57,6.5,7.38,788114.1,5607285.094,1757
1649635200000,2022-04-11,C98BRL,7.17,7.24,6.37,6.51,362547.8,2446858.933,1427
1649548800000,2022-04-10,C98BRL,7.6,7.65,7.15,7.23,311266.0,2301087.823,1108
1649462400000,2022-04-09,C98BRL,7.36,7.61,7.13,7.6,240617.1,1783800.11,1013
1649376000000,2022-04-08,C98BRL,7.76,7.92,7.2,7.31,473711.6,3599118.404,1855
1649289600000,2022-04-07,C98BRL,7.17,7.84,6.9,7.76,509246.7,3809760.581,1933
1649203200000,2022-04-06,C98BRL,7.95,7.97,7.04,7.14,591668.0,4455454.857,2864
1649116800000,2022-04-05,C98BRL,8.34,8.56,7.89,7.95,142303.2,1173230.292,1181
1649030400000,2022-04-04,C98BRL,8.66,8.8,7.88,8.33,322965.6,2677917.756,1544
1648944000000,2022-04-03,C98BRL,8.26,8.75,8.08,8.68,32814.9,278850.118,1045
1648857600000,2022-04-02,C98BRL,8.5,9.22,8.16,8.18,123732.4,1078999.652,1737
1648771200000,2022-04-01,C98BRL,8.19,8.64,7.71,8.49,138755.5,1140014.983,1528
1648684800000,2022-03-31,C98BRL,8.5,9.02,7.92,8.13,186553.7,1586347.253,1893
1648598400000,2022-03-30,C98BRL,7.96,9.15,7.7,8.53,506702.3,4291774.652,2344
1648512000000,2022-03-29,C98BRL,7.68,8.15,7.62,7.98,165993.9,1304448.534,944
1648425600000,2022-03-28,C98BRL,8.08,8.4,7.65,7.73,12600.7,102860.38,291
1648339200000,2022-03-27,C98BRL,7.52,8.05,7.47,8.05,10691.0,82723.436,189
1648252800000,2022-03-26,C98BRL,7.41,7.7,7.29,7.6,8013.6,59541.195,124
1648166400000,2022-03-25,C98BRL,7.87,8.05,7.02,7.37,29504.2,222717.507,279
1648080000000,2022-03-24,C98BRL,7.96,7.96,7.61,7.93,26768.8,208807.159,263
1647993600000,2022-03-23,C98BRL,7.84,8.2,7.65,7.96,69057.5,552686.327,271
1647907200000,2022-03-22,C98BRL,7.59,8.13,7.56,7.79,5467366.9,42464351.621,2293
1647820800000,2022-03-21,C98BRL,8.13,8.26,7.54,7.61,3458838.0,27186159.756,1882
1647734400000,2022-03-20,C98BRL,7.78,8.52,7.34,8.1,42566.5,337253.315,342
1647648000000,2022-03-19,C98BRL,7.15,8.11,7.15,7.78,318148.3,2396222.75,744
1647561600000,2022-03-18,C98BRL,6.81,7.1,6.62,7.1,13186.5,90716.227,181
1647475200000,2022-03-17,C98BRL,6.96,7.47,6.8,6.84,520989.5,3636720.086,547
1647388800000,2022-03-16,C98BRL,6.77,7.26,6.6,6.86,34569.5,238500.189,383
1647302400000,2022-03-15,C98BRL,6.26,6.92,6.05,6.78,33983.4,216067.186,279
1647216000000,2022-03-14,C98BRL,5.92,6.29,5.85,6.26,934112.9,5726128.311,819
1647129600000,2022-03-13,C98BRL,6.19,6.32,5.92,5.98,22588.3,139669.663,122
1647043200000,2022-03-12,C98BRL,6.14,6.6,6.0,6.15,4840239.9,30735810.663,1509
1646956800000,2022-03-11,C98BRL,6.2,6.42,6.01,6.14,688079.5,4282028.448,356
1646870400000,2022-03-10,C98BRL,6.75,6.85,6.1,6.25,266941.3,1667579.327,290
1646784000000,2022-03-09,C98BRL,6.58,6.86,6.49,6.74,11688.0,78639.205,131
1646697600000,2022-03-08,C98BRL,6.33,6.64,6.26,6.43,5304.1,34283.357,107
1646611200000,2022-03-07,C98BRL,6.29,6.58,6.07,6.35,15639.7,97455.963,185
1646524800000,2022-03-06,C98BRL,6.81,6.96,6.3,6.3,19066.4,124829.303,229
1646438400000,2022-03-05,C98BRL,6.75,6.87,6.53,6.81,16037.4,108126.024,176
1646352000000,2022-03-04,C98BRL,7.56,7.61,6.73,6.73,33845.5,243668.607,322
1646265600000,2022-03-03,C98BRL,7.54,7.87,7.35,7.74,17216.1,130791.621,311
1646179200000,2022-03-02,C98BRL,7.7,8.3,7.41,7.56,13254.0,103329.888,203
1646092800000,2022-03-01,C98BRL,7.26,7.73,7.21,7.7,6289.4,46848.244,151
1646006400000,2022-02-28,C98BRL,6.5,7.31,6.44,7.25,18845.6,128304.383,251
1645920000000,2022-02-27,C98BRL,6.88,7.02,6.4,6.57,24155.5,162866.031,390
1645833600000,2022-02-26,C98BRL,7.25,7.4,6.86,6.97,13405.9,94939.388,212
1645747200000,2022-02-25,C98BRL,6.71,7.23,6.38,7.19,292792.3,2027380.0,487
1645660800000,2022-02-24,C98BRL,6.5,6.8,5.59,6.72,503215.2,3168664.398,545
1645574400000,2022-02-23,C98BRL,7.05,7.33,6.55,6.55,12172.7,84651.177,187
1645488000000,2022-02-22,C98BRL,6.89,7.06,6.5,7.01,19535.6,133536.632,175
1645401600000,2022-02-21,C98BRL,7.79,8.08,6.9,6.99,331502.2,2492980.472,456
1645315200000,2022-02-20,C98BRL,8.26,8.26,7.55,7.79,450552.6,3531250.943,424
1645228800000,2022-02-19,C98BRL,8.19,8.4,7.94,8.3,17934.0,147064.531,217
1645142400000,2022-02-18,C98BRL,8.4,8.74,8.02,8.17,18633.7,155756.23,315
1645056000000,2022-02-17,C98BRL,9.36,9.47,8.3,8.44,20490.9,180513.691,474
1644969600000,2022-02-16,C98BRL,9.52,9.75,9.18,9.36,19146.5,181312.634,337
1644883200000,2022-02-15,C98BRL,8.61,9.69,8.6,9.53,23197.4,216947.736,419
1644796800000,2022-02-14,C98BRL,8.55,8.63,8.23,8.63,16169.9,136163.69,265
1644710400000,2022-02-13,C98BRL,9.02,9.22,8.51,8.56,10075.9,88936.938,215
1644624000000,2022-02-12,C98BRL,9.08,9.16,8.5,8.97,21154.3,188397.035,373
1644537600000,2022-02-11,C98BRL,10.33,10.6,8.91,9.08,20578.2,197881.025,506
1644451200000,2022-02-10,C98BRL,9.94,11.02,9.56,10.4,36731.2,379971.752,412
1644364800000,2022-02-09,C98BRL,9.44,10.24,9.23,10.03,40837.7,397911.995,348
1644278400000,2022-02-08,C98BRL,10.02,10.23,9.22,9.47,12644.6,121100.147,309
1644192000000,2022-02-07,C98BRL,9.76,10.24,9.49,10.03,11352.3,111993.746,298
1644105600000,2022-02-06,C98BRL,9.48,9.84,9.34,9.76,12816.2,121874.165,249
1644019200000,2022-02-05,C98BRL,9.44,9.92,9.3,9.47,18369.4,175201.574,237
1643932800000,2022-02-04,C98BRL,8.81,9.44,8.81,9.44,13026.2,118922.859,172
1643846400000,2022-02-03,C98BRL,8.38,8.81,8.25,8.75,11982.4,101873.53,195
1643760000000,2022-02-02,C98BRL,9.06,9.18,8.31,8.38,8889.9,78207.953,196
1643673600000,2022-02-01,C98BRL,8.83,9.17,8.78,8.89,12106.7,108979.911,174
1643587200000,2022-01-31,C98BRL,8.61,9.25,8.26,8.83,399059.1,3564050.558,559
1643500800000,2022-01-30,C98BRL,8.79,9.08,8.48,8.62,13103.9,115619.614,207
1643414400000,2022-01-29,C98BRL,8.74,8.97,8.57,8.84,28731.9,253300.377,263
1643328000000,2022-01-28,C98BRL,8.3,8.9,8.09,8.57,152284.3,1315651.71,487
1643241600000,2022-01-27,C98BRL,8.75,8.84,7.9,8.29,21806.9,180558.603,237
1643155200000,2022-01-26,C98BRL,8.42,10.16,8.28,8.75,489876.1,4476855.554,1193
1643068800000,2022-01-25,C98BRL,8.28,8.67,8.04,8.52,13319.9,111994.843,210
1642982400000,2022-01-24,C98BRL,8.82,8.9,7.39,8.27,10587.7,89777.855,142
1642896000000,2022-01-23,C98BRL,8.88,9.32,8.27,8.95,118581.3,1021047.557,448
1642809600000,2022-01-22,C98BRL,10.14,10.35,7.93,8.55,182456.1,1614086.32,426
1642723200000,2022-01-21,C98BRL,11.5,11.64,9.52,10.04,15849.7,171168.758,312
1642636800000,2022-01-20,C98BRL,12.1,12.63,11.55,11.55,19767.3,242463.352,326
1642550400000,2022-01-19,C98BRL,12.88,13.02,12.1,12.14,23191.6,286925.256,360
1642464000000,2022-01-18,C98BRL,12.58,13.07,12.14,12.96,13598.0,170411.034,335
1642377600000,2022-01-17,C98BRL,13.69,13.69,12.37,12.58,10785.4,139463.607,278
1642291200000,2022-01-16,C98BRL,13.38,13.88,13.21,13.67,14735.1,199286.963,228
1642204800000,2022-01-15,C98BRL,13.64,14.0,13.35,13.38,6375.2,87115.961,207
1642118400000,2022-01-14,C98BRL,12.94,13.6,12.68,13.6,117564.4,1533949.725,755
1642032000000,2022-01-13,C98BRL,14.15,14.21,12.89,12.89,114428.4,1565615.412,543
1641945600000,2022-01-12,C98BRL,13.81,14.38,13.59,14.1,19209.0,269761.627,340
1641859200000,2022-01-11,C98BRL,12.74,13.8,12.74,13.75,14585.9,195771.546,376
1641772800000,2022-01-10,C98BRL,13.06,13.53,11.91,12.83,11377.5,147085.676,318
1641686400000,2022-01-09,C98BRL,13.21,13.95,12.73,13.06,8476.8,113347.37,335
1641600000000,2022-01-08,C98BRL,14.52,14.89,13.04,13.27,21803.8,307730.049,541
1641513600000,2022-01-07,C98BRL,13.75,14.85,13.04,14.4,32320.4,457337.126,810
1641427200000,2022-01-06,C98BRL,14.1,14.3,13.41,13.91,109443.8,1500169.174,667
1641340800000,2022-01-05,C98BRL,14.49,16.55,13.38,14.12,49249.4,767195.286,1273
1641254400000,2022-01-04,C98BRL,13.51,15.19,13.29,14.5,28107.0,405998.885,646
1641168000000,2022-01-03,C98BRL,13.83,13.85,13.14,13.51,3970.3,53539.481,209
1641081600000,2022-01-02,C98BRL,14.24,14.24,13.64,13.89,8152.5,112691.754,222
1640995200000,2022-01-01,C98BRL,13.48,14.23,13.48,14.18,1525.0,21345.686,92
1640908800000,2021-12-31,C98BRL,13.75,14.27,13.14,13.41,79697.3,1119133.649,422
1640822400000,2021-12-30,C98BRL,14.24,14.58,13.64,13.74,12121.3,171212.259,377
1640736000000,2021-12-29,C98BRL,15.8,16.21,14.01,14.21,26808.3,398926.174,830
1640649600000,2021-12-28,C98BRL,15.13,16.9,14.38,15.79,65366.9,1026240.635,1595
1640563200000,2021-12-27,C98BRL,14.67,16.25,14.6,15.25,93585.7,1481198.181,1051
1640476800000,2021-12-26,C98BRL,13.7,15.11,13.47,14.59,557678.7,8181800.169,1607
1640390400000,2021-12-25,C98BRL,13.88,13.96,13.45,13.77,5493.4,75388.871,182
1640304000000,2021-12-24,C98BRL,13.74,14.6,13.0,13.84,24027.0,334566.331,605
1640217600000,2021-12-23,C98BRL,12.28,14.24,11.87,13.75,34163.7,456605.006,790
1640131200000,2021-12-22,C98BRL,11.61,12.7,11.49,12.25,176052.8,2170460.584,648
1640044800000,2021-12-21,C98BRL,11.27,12.0,10.8,11.58,811046.0,9377922.546,990
1639958400000,2021-12-20,C98BRL,11.28,11.43,10.64,11.19,6006.4,66388.113,188
1639872000000,2021-12-19,C98BRL,11.4,11.6,11.2,11.34,2031.4,23171.509,130
1639785600000,2021-12-18,C98BRL,11.18,11.6,11.15,11.5,2653.7,29996.315,106
1639699200000,2021-12-17,C98BRL,11.66,11.87,10.99,11.29,7981.0,91532.65,259
1639612800000,2021-12-16,C98BRL,12.09,12.5,11.7,11.7,340563.4,4122215.603,1217
1639526400000,2021-12-15,C98BRL,11.79,12.37,11.27,12.09,537582.1,6335610.836,1172
1639440000000,2021-12-14,C98BRL,11.51,11.9,11.3,11.79,11119.2,128120.305,261
1639353600000,2021-12-13,C98BRL,12.65,12.65,11.22,11.53,119698.6,1460402.179,463
1639267200000,2021-12-12,C98BRL,12.31,12.83,12.16,12.58,2266.9,28166.438,143
1639180800000,2021-12-11,C98BRL,11.75,12.8,11.54,12.32,308030.8,3818111.121,752
1639094400000,2021-12-10,C98BRL,12.0,12.52,11.73,11.82,8833.9,106865.4,263
1639008000000,2021-12-09,C98BRL,13.19,13.47,11.87,11.87,6237.0,77694.803,326
1638921600000,2021-12-08,C98BRL,12.56,13.39,12.09,13.08,9118.0,114991.449,472
1638835200000,2021-12-07,C98BRL,12.93,13.53,12.28,12.56,10353.2,134393.334,432
1638748800000,2021-12-06,C98BRL,12.61,13.1,11.5,12.93,10629.4,130648.837,342
