Unix,Date,Symbol,Open,High,Low,Close,Volume LTC,Volume BRL,tradecount
1688774400000,2023-07-08,LTCBRL,481.3,485.3,473.9,481.1,634.351,304088.3428,960
1688688000000,2023-07-07,LTCBRL,468.6,483.0,465.8,482.1,1022.731,487175.2925,1172
1688601600000,2023-07-06,LTCBRL,496.4,513.0,469.3,469.3,2569.614,1266388.1241,1993
1688515200000,2023-07-05,LTCBRL,507.7,518.3,481.6,499.2,1718.409,858518.0473,1638
1688428800000,2023-07-04,LTCBRL,513.2,526.0,504.7,506.8,1236.119,638040.6102,1376
1688342400000,2023-07-03,LTCBRL,546.9,554.4,508.0,515.0,2992.443,1568837.6694,2124
1688256000000,2023-07-02,LTCBRL,517.4,549.9,508.0,547.2,1816.554,972298.4492,1709
1688169600000,2023-07-01,LTCBRL,524.6,543.0,498.2,517.3,1657.196,851957.6641,2171
1688083200000,2023-06-30,LTCBRL,413.5,537.3,411.8,524.4,6807.277,3267604.4216,5465
1687996800000,2023-06-29,LTCBRL,405.4,418.1,405.4,413.4,966.297,398348.8215,1208
1687910400000,2023-06-28,LTCBRL,425.5,425.5,397.1,405.9,1517.604,626424.7312,1634
1687824000000,2023-06-27,LTCBRL,418.3,430.8,417.6,425.6,1188.92,504603.2288,1391
1687737600000,2023-06-26,LTCBRL,425.2,433.1,412.9,418.7,1159.917,486701.935,1329
1687651200000,2023-06-25,LTCBRL,431.5,433.0,418.1,425.6,675.827,286908.5756,784
1687564800000,2023-06-24,LTCBRL,439.3,451.0,417.7,431.1,1309.359,566485.6221,1681
1687478400000,2023-06-23,LTCBRL,411.1,445.0,408.9,439.7,1708.661,727164.1415,1674
1687392000000,2023-06-22,LTCBRL,405.9,422.8,404.0,412.1,1250.704,516768.2836,1454
1687305600000,2023-06-21,LTCBRL,385.9,418.1,384.9,405.8,1877.98,758889.0111,2113
1687219200000,2023-06-20,LTCBRL,372.2,389.3,365.2,385.6,1180.77,444862.1523,1193
1687132800000,2023-06-19,LTCBRL,375.6,377.3,365.9,372.4,1046.811,388715.8271,855
1687046400000,2023-06-18,LTCBRL,374.2,381.5,371.3,375.9,710.89,267836.1112,687
1686960000000,2023-06-17,LTCBRL,369.6,376.7,367.4,374.4,718.262,268996.0306,847
1686873600000,2023-06-16,LTCBRL,360.9,372.4,359.2,369.2,1162.905,425015.1121,717
1686787200000,2023-06-15,LTCBRL,355.5,363.8,349.3,361.1,1295.624,463458.3615,931
1686700800000,2023-06-14,LTCBRL,379.0,382.3,345.1,355.7,2152.038,785345.9275,1307
1686614400000,2023-06-13,LTCBRL,378.8,388.5,373.0,378.8,1041.466,395896.1789,888
1686528000000,2023-06-12,LTCBRL,384.8,386.0,372.1,379.1,1208.217,456350.3293,976
1686441600000,2023-06-11,LTCBRL,381.3,390.5,377.0,384.5,739.844,284920.8103,820
1686355200000,2023-06-10,LTCBRL,439.3,439.5,330.0,381.6,3011.137,1175420.3431,2200
1686268800000,2023-06-09,LTCBRL,439.1,444.3,432.0,439.8,995.497,436788.634,906
1686182400000,2023-06-08,LTCBRL,440.8,444.1,432.8,439.9,801.317,351858.4423,720
1686096000000,2023-06-07,LTCBRL,447.6,450.0,432.0,441.5,1542.099,679181.9198,1274
1686009600000,2023-06-06,LTCBRL,437.5,451.8,426.2,449.2,1418.582,623095.1625,1402
1685923200000,2023-06-05,LTCBRL,472.2,474.3,415.7,438.0,2337.817,1035585.7513,1791
1685836800000,2023-06-04,LTCBRL,480.5,483.2,471.0,472.0,786.265,376169.3766,809
